公告日期,证券代码,公告标题,公告网页链接（万得）,股票简称,标题,
22/07/2014,002728.SZ,台城制药:首次公开发行股票招股说明书,http://snap.windin.com/ns/bulletin.php?id=66184940&type=1,台城制药,首次公开发行股票招股说明书,
22/07/2014,603126.SH,中材节能:首次公开发行股票招股说明书,http://snap.windin.com/ns/bulletin.php?id=66184988&type=1,中材节能,首次公开发行股票招股说明书,
22/07/2014,603099.SH,长白山:首次公开发行股票招股说明书,http://snap.windin.com/ns/bulletin.php?id=66184970&type=1,长白山,首次公开发行股票招股说明书,
22/07/2014,603111.SH,康尼机电:首次公开发行股票招股说明书,http://snap.windin.com/ns/bulletin.php?id=66184984&type=1,康尼机电,首次公开发行股票招股说明书,
22/07/2014,603100.SH,川仪股份:首次公开发行股票招股说明书,http://snap.windin.com/ns/bulletin.php?id=66184986&type=1,川仪股份,首次公开发行股票招股说明书,
18/07/2014,603306.SH,华懋新材:首次公开发行股票招股说明书(申报稿2014年7月17日报送),http://snap.windin.com/ns/bulletin.php?id=66167918&type=1,华懋新材,首次公开发行股票招股说明书(申报稿2014年7月17日报送),
30/06/2014,A14621.SH,新丽传媒:首次公开发行股票招股说明书(申报稿2014年6月17日报送),http://snap.windin.com/ns/bulletin.php?id=64450112&type=1,新丽传媒,首次公开发行股票招股说明书(申报稿2014年6月17日报送),
30/06/2014,A14618.SH,杭州银行:首次公开发行股票招股说明书(申报稿2014年6月26日报送),http://snap.windin.com/ns/bulletin.php?id=64450078&type=1,杭州银行,首次公开发行股票招股说明书(申报稿2014年6月26日报送),
30/06/2014,A14619.SH,成都银行:首次公开发行股票招股说明书(申报稿2014年6月23日报送),http://snap.windin.com/ns/bulletin.php?id=64450092&type=1,成都银行,首次公开发行股票招股说明书(申报稿2014年6月23日报送),
30/06/2014,A14615.SH,江苏银行:首次公开发行股票招股说明书(申报稿2014年4月29日报送),http://snap.windin.com/ns/bulletin.php?id=64450048&type=1,江苏银行,首次公开发行股票招股说明书(申报稿2014年4月29日报送),
30/06/2014,A14607.SZ,濮阳惠成:创业板首次公开发行股票招股说明书(申报稿2014年6月24日报送),http://snap.windin.com/ns/bulletin.php?id=64450020&type=1,濮阳惠成,创业板首次公开发行股票招股说明书(申报稿2014年6月24日报送),
30/06/2014,A14611.SH,盛京银行:首次公开发行股票招股说明书(申报稿2014年6月30日报送),http://snap.windin.com/ns/bulletin.php?id=64450034&type=1,盛京银行,首次公开发行股票招股说明书(申报稿2014年6月30日报送),
30/06/2014,A14608.SZ,天波信息:创业板首次公开发行股票招股说明书(申报稿2014年6月27日报送),http://snap.windin.com/ns/bulletin.php?id=64450026&type=1,天波信息,创业板首次公开发行股票招股说明书(申报稿2014年6月27日报送),
30/06/2014,A14617.SH,贵阳银行:首次公开发行股票招股说明书(申报稿2014年6月20日报送),http://snap.windin.com/ns/bulletin.php?id=64450064&type=1,贵阳银行,首次公开发行股票招股说明书(申报稿2014年6月20日报送),
30/06/2014,A14610.SZ,三环集团:创业板首次公开发行股票招股说明书(申报稿2014年6月30日报送),http://snap.windin.com/ns/bulletin.php?id=64450030&type=1,三环集团,创业板首次公开发行股票招股说明书(申报稿2014年6月30日报送),
30/06/2014,A14606.SZ,快乐购:创业板首次公开发行股票招股说明书(申报稿2014年6月30日报送),http://snap.windin.com/ns/bulletin.php?id=64449992&type=1,快乐购,创业板首次公开发行股票招股说明书(申报稿2014年6月30日报送),
30/06/2014,A14605.SZ,全志科技:创业板首次公开发行股票招股说明书(申报稿2014年6月24日报送),http://snap.windin.com/ns/bulletin.php?id=64449982&type=1,全志科技,创业板首次公开发行股票招股说明书(申报稿2014年6月24日报送),
30/06/2014,A14625.SH,普莱柯:首次公开发行股票招股说明书(申报稿2014年6月16日报送),http://snap.windin.com/ns/bulletin.php?id=64548098&type=1,普莱柯,首次公开发行股票招股说明书(申报稿2014年6月16日报送),
30/06/2014,A14623.SH,海南矿业:首次公开发行股票招股说明书(申报稿2014年6月27日报送),http://snap.windin.com/ns/bulletin.php?id=64548084&type=1,海南矿业,首次公开发行股票招股说明书(申报稿2014年6月27日报送),
30/06/2014,A14626.SZ,永兴特钢:首次公开发行股票招股说明书(申报稿2014年6月10日报送),http://snap.windin.com/ns/bulletin.php?id=64548070&type=1,永兴特钢,首次公开发行股票招股说明书(申报稿2014年6月10日报送),
30/06/2014,A14624.SH,艾华集团:首次公开发行股票招股说明书(申报稿2014年6月16日报送),http://snap.windin.com/ns/bulletin.php?id=64548090&type=1,艾华集团,首次公开发行股票招股说明书(申报稿2014年6月16日报送),
30/06/2014,A14622.SH,超讯通信:首次公开发行股票招股说明书(申报稿2014年6月27日报送),http://snap.windin.com/ns/bulletin.php?id=64450140&type=1,超讯通信,首次公开发行股票招股说明书(申报稿2014年6月27日报送),
30/06/2014,A14620.SZ,普德药业:首次公开发行股票招股说明书(申报稿2014年6月23日报送),http://snap.windin.com/ns/bulletin.php?id=64450106&type=1,普德药业,首次公开发行股票招股说明书(申报稿2014年6月23日报送),
30/06/2014,A14613.SH,上海银行:首次公开发行股票招股说明书(申报稿2014年5月27日报送),http://snap.windin.com/ns/bulletin.php?id=64450038&type=1,上海银行,首次公开发行股票招股说明书(申报稿2014年5月27日报送),
30/06/2014,A14614.SH,吴江农商行:首次公开发行股票招股说明书(申报稿2014年4月24日报送),http://snap.windin.com/ns/bulletin.php?id=64450042&type=1,吴江农商行,首次公开发行股票招股说明书(申报稿2014年4月24日报送),
30/06/2014,A14612.SZ,张家港农商行:首次公开发行股票招股说明书(申报稿2014年6月27日报送),http://snap.windin.com/ns/bulletin.php?id=64450036&type=1,张家港农商行,首次公开发行股票招股说明书(申报稿2014年6月27日报送),
30/06/2014,A14627.SZ,江阴农商行:首次公开发行股票招股说明书(申报稿2014年4月10日报送),http://snap.windin.com/ns/bulletin.php?id=64450052&type=1,江阴农商行,首次公开发行股票招股说明书(申报稿2014年4月10日报送),
30/06/2014,A14609.SH,无锡农商行:首次公开发行股票招股说明书(申报稿2014年6月27日报送),http://snap.windin.com/ns/bulletin.php?id=64450028&type=1,无锡农商行,首次公开发行股票招股说明书(申报稿2014年6月27日报送),
30/06/2014,A14616.SH,常熟银行:首次公开发行股票招股说明书(申报稿2014年6月27日报送),http://snap.windin.com/ns/bulletin.php?id=64450058&type=1,常熟银行,首次公开发行股票招股说明书(申报稿2014年6月27日报送),
27/06/2014,A14574.SZ,创业软件:创业板首次公开发行股票招股说明书(申报稿2014年6月24日报送),http://snap.windin.com/ns/bulletin.php?id=63045474&type=1,创业软件,创业板首次公开发行股票招股说明书(申报稿2014年6月24日报送),
27/06/2014,A14571.SZ,伟岸测器:创业板首次公开发行股票招股说明书(申报稿2014年6月25日报送),http://snap.windin.com/ns/bulletin.php?id=63045518&type=1,伟岸测器,创业板首次公开发行股票招股说明书(申报稿2014年6月25日报送),
27/06/2014,A14566.SZ,赢合科技:创业板首次公开发行股票招股说明书(申报稿2014年6月25日报送),http://snap.windin.com/ns/bulletin.php?id=63045396&type=1,赢合科技,创业板首次公开发行股票招股说明书(申报稿2014年6月25日报送),
27/06/2014,A14567.SH,醋酸化工:首次公开发行股票招股说明书(申报稿2014年5月28日报送),http://snap.windin.com/ns/bulletin.php?id=63045528&type=1,醋酸化工,首次公开发行股票招股说明书(申报稿2014年5月28日报送),
27/06/2014,A14587.SZ,汇金科技:创业板首次公开发行股票招股说明书(申报稿2014年6月23日报送),http://snap.windin.com/ns/bulletin.php?id=63045490&type=1,汇金科技,创业板首次公开发行股票招股说明书(申报稿2014年6月23日报送),
27/06/2014,A14588.SH,大通物流:首次公开发行股票招股说明书(申报稿2014年6月26日报送),http://snap.windin.com/ns/bulletin.php?id=63045508&type=1,大通物流,首次公开发行股票招股说明书(申报稿2014年6月26日报送),
27/06/2014,A14580.SZ,中富通:创业板首次公开发行股票招股说明书(申报稿2014年6月13日报送),http://snap.windin.com/ns/bulletin.php?id=63045450&type=1,中富通,创业板首次公开发行股票招股说明书(申报稿2014年6月13日报送),
27/06/2014,A14561.SZ,博创科技:创业板首次公开发行股票招股说明书(申报稿2014年6月27日报送),http://snap.windin.com/ns/bulletin.php?id=63045378&type=1,博创科技,创业板首次公开发行股票招股说明书(申报稿2014年6月27日报送),
27/06/2014,A14563.SZ,金科股份:创业板首次公开发行股票招股说明书(申报稿2014年6月24日报送),http://snap.windin.com/ns/bulletin.php?id=63045370&type=1,金科股份,创业板首次公开发行股票招股说明书(申报稿2014年6月24日报送),
27/06/2014,A14565.SH,远大股份:首次公开发行股票招股说明书(申报稿2014年6月19日报送),http://snap.windin.com/ns/bulletin.php?id=63045372&type=1,远大股份,首次公开发行股票招股说明书(申报稿2014年6月19日报送),
27/06/2014,A14564.SZ,蓝晓科技:创业板首次公开发行股票招股说明书(申报稿2014年6月24日报送),http://snap.windin.com/ns/bulletin.php?id=63045368&type=1,蓝晓科技,创业板首次公开发行股票招股说明书(申报稿2014年6月24日报送),
27/06/2014,A14584.SH,家家悦:首次公开发行股票招股说明书（申报稿2014年6月20日报送）,http://snap.windin.com/ns/bulletin.php?id=63134806&type=1,家家悦,首次公开发行股票招股说明书（申报稿2014年6月20日报送）,
27/06/2014,A14583.SH,灵康药业:首次公开发行股票招股说明书（申报稿2014年6月16日报送）,http://snap.windin.com/ns/bulletin.php?id=63134928&type=1,灵康药业,首次公开发行股票招股说明书（申报稿2014年6月16日报送）,
27/06/2014,A14582.SZ,卓越新能:创业板首次公开发行股票招股说明书（申报稿2014年6月23日报送）,http://snap.windin.com/ns/bulletin.php?id=63134934&type=1,卓越新能,创业板首次公开发行股票招股说明书（申报稿2014年6月23日报送）,
27/06/2014,A14581.SH,三角股份:首次公开发行股票招股说明书（申报稿2014年6月24日报送）,http://snap.windin.com/ns/bulletin.php?id=63134978&type=1,三角股份,首次公开发行股票招股说明书（申报稿2014年6月24日报送）,
